469	YOUNGER SISTER (OF WOMAN)
470	LIE DOWN
471	GRANDMOTHER
472	THREE
473	MOTHER-IN-LAW (OF MAN)
474	MOTHER-IN-LAW (OF WOMAN)
475	ROOSTER
476	BRAVE
477	RAM
478	BECAUSE
479	YOUNG MAN
480	CHILD (YOUNG HUMAN)
481	BABY
482	CHILD (DESCENDANT)
483	STEPSON
484	NEPHEW
485	SMALL
486	FEW
487	SERVANT
488	STEPDAUGHTER
489	NIECE
490	OLDER SISTER (OF MAN)
491	PUPIL (STUDENT)
492	NARROW
493	THOU
494	FAMILY
495	DESCENDANTS
496	GRANDDAUGHTER
497	WORD
498	GET
499	FIND
500	BUY
501	COPULATE
502	PICK UP
503	CONCEIVE
504	DIVORCE
505	LEAVE
506	THROW
507	DROP (SOMETHING)
508	LET GO OR SET FREE
509	CEASE
510	MISPLACE
511	CUT
512	DIVIDE
513	MAKE
514	PARENTS
515	OLDER BROTHER (OF MAN)
516	OLDER BROTHER (OF WOMAN)
517	STEPFATHER
518	BIG
519	KING
520	READ
521	BEAT
522	CARRY ON BACK
523	FULL
524	POTATO
525	PATERNAL AUNT (FATHER'S SISTER)
526	MATERNAL AUNT (MOTHER'S SISTER)
527	OLDER SISTER (OF WOMAN)
528	STEPMOTHER
529	CROCODILE
530	GO
531	PREGNANT
532	YOUNGER BROTHER (OF MAN)
533	YOUNGER BROTHER (OF WOMAN)
534	SIBLING
535	COUSIN
536	GUEST
537	TWO
538	WHERE
539	SOME
540	TWINS
541	PAIR
542	DAUGHTER-IN-LAW (OF MAN)
543	DAUGHTER-IN-LAW (OF WOMAN)
544	TENT
545	MATERNAL GRANDMOTHER
546	ORPHAN
547	POOR
548	BEGGAR
549	WIDOW
550	WIDOWER
551	NEIGHBOUR
552	ROOM
553	HOME
554	SCRAPE
555	SELL
556	WE (EXCLUSIVE)
557	GOOD
558	SELF
559	LICK
560	THEY
561	THAT
562	THEE (OBLIQUE CASE OF YOU)
563	YOU (OBLIQUE CASE OF YOU)
564	WHAT
565	SWEAT (SUBSTANCE)
566	THERE
567	OIL (ORGANIC SUBSTANCE)
568	IN
569	ONE
570	HEAVY
571	HERE
572	NOTHING
573	NOT
574	BACK
575	INTENTION
576	OUR
577	DOOR
578	ALL
579	ASK (INQUIRE)
580	WHICH
581	PUS
582	YOUR (PLURAL)
583	FAECES (EXCREMENT)
584	ANIMAL
585	INSECT
586	LIVESTOCK
587	CATTLE
588	LIFE
589	YES
590	BULL
591	STALLION
592	FOWL
593	SHEEP
594	COW
595	THATCH
596	HAY
597	WILLOW
598	STABLE
599	PRISON
600	FENCE
601	OX
602	CALF
603	HORSE
604	BUFFALO
605	EWE
606	LAMB
607	MALE GOAT
608	YOUNG GOAT (KID)
609	LAME
610	LIMP
611	CROOKED
612	CHOOSE
613	BOAR (MALE PIG)
614	SOW (FEMALE PIG)
615	PIG
616	CUT (WITH AXE)
617	CUT DOWN
618	VICTORY
619	MARE
620	DONKEY
621	FOAL
622	MULE
623	STUPID
624	CHICKEN
625	HEN
626	COOKED
627	PROSTITUTE
628	GOOSE
629	DUCK
630	PRESS
631	BED
632	WOMB
633	SPIDER WEB
634	BEEHIVE
635	HERON
636	SPARROW
637	FIVE
638	CHEW
639	EAGLE
640	VULTURE
641	HAWK
642	PARROT
643	CROW
644	BAT
645	BUTTERFLY
646	BITTER
647	JAGUAR
648	WOLF-LIKE ANIMAL
649	BOAT
650	MUROID (MOUSE OR RAT)
651	LOCK
652	CALF OF LEG
653	FOOD
654	FISHING
655	SICK
656	FIN
657	SCALE
658	COIN
659	BARK
660	DANDRUFF
661	SHELL
662	SNAIL
663	RATTLE
664	LEATHER
665	WOLF
666	FOX
667	LION
668	LEOPARD
669	MONKEY
670	BABOON
671	WORM
672	COCKROACH
673	NIT
674	FLEA
675	CENTIPEDE
676	SCORPION
677	ARMADILLO
678	ANT
679	TERMITE
680	HUT
681	BEE
682	HONEY
683	BEESWAX
684	AFTERWARDS
685	EARWAX
686	OINTMENT
687	COPPER
688	SWEET
689	SUGAR CANE
690	BASKET
691	SANDFLY
692	SPLIT
693	SOUR
694	ARROW
695	BAIT
696	GRASSHOPPER
697	LOCUST
698	FROG
699	RISE (MOVE UPWARDS)
700	TOAD
701	LIZARD
702	TURTLE
703	TORTOISE
704	CORPSE
705	WAIST
706	IDOL
707	FUR
708	PEEL
709	PULL OFF (SKIN)
710	BOOK
711	SINK (DESCEND)
712	YAM
713	MAT
714	SHOE
715	THICK
716	CLIMB
717	PUBIC HAIR
718	BRAID
719	TODAY
720	BEARD
721	CHIN
722	HARD
723	DRUM
724	THINK (REFLECT)
725	THINK (BELIEVE)
726	VEIN
727	TENDON
728	THREAD
729	OAR
730	CHEST
731	SPINE
732	PLATE
733	BOWL
734	CUP
735	SHOULDERBLADE
736	WAR
737	SHIN
738	LOWER LEG
739	KNEE
740	BLUNT
741	BLIND
742	BRASS INSTRUMENT (HORN OR TRUMPET)
743	CORNER
744	SCRATCH
745	FLUTE
746	THROAT
747	PIPE
748	END (OF TIME)
749	SKIRT
750	BEHIND
751	GRAIN
752	OUTSIDE
753	ROOF
754	LATE
755	LAST (FINAL)
756	HIP
757	RIDGEPOLE
758	BEGIN
759	SKULL
760	MIND
761	BRAIN
762	GOURD
763	HAIR
764	CORRECT (RIGHT)
765	TEMPLES
766	TEMPLE
767	JAW
768	CHEEK
769	IN FRONT OF
770	SIMILAR
771	COLOR
772	MOLAR TOOTH
773	GUMS
774	WIDE
775	BEAD
776	EYELASH
777	EYELID
778	BLINK
779	EARLOBE
780	EARRING
781	TOMORROW
782	NASAL MUCUS (SNOT)
783	BEAK
784	NOSTRIL
785	SPIT
786	TONGUE
787	NECK
788	POINTED
789	WIPE
790	IVORY
791	MILL
792	COLLAR
793	NECKLACE
794	ELBOW
795	NO
796	GOITER
797	ITCH
798	COLLARBONE
799	AXE
800	UPPER ARM
801	SPADE
802	PADDLE
803	SHOVEL
804	WRIST
805	FATHOM
806	FINGER
807	PALM OF HAND
808	SLEEVE
809	LOWER ARM
810	DIFFICULT
811	NEED (NOUN)
812	ARMPIT
813	ANKLE
814	CLAW
815	FALL
816	TOE
817	DRY IN SUN
818	SOLE (FOOT)
819	PALM TREE
820	COCONUT
821	RING
822	THUMB
823	TOENAIL
824	NAIL (TOOL)
825	NEEDLE (FOR SEWING)
826	PIN
827	AWL
828	FORK
829	TONGS
830	HOOF
831	UPPER LEG (THIGH)
832	FOOTPRINT
833	GO DOWN (DESCEND)
834	KNEEL
835	OR
836	WHEEL
837	BOIL (OF SKIN)
838	SPEARTHROWER
839	MORTAR
840	LINE
841	SCAR
842	PEN
843	NIPPLE
844	HEART
845	UDDER
846	PHYSICIAN
847	MIDDLE
848	STRONG
849	DARE
850	LOUD
851	ROUGH
852	GREEDY
853	CERTAIN
854	STINGY
855	POWERFUL
856	EXPENSIVE
857	SHUT
858	SOFT
859	SPLEEN
860	TALL
861	GUTS
862	BEAN
863	BLADDER
864	INTESTINES
865	BELT
866	THIGH
867	EAST
868	TESTICLES
869	BALL
870	VULVA
871	YAWN
872	REST
873	SNORE
874	SNEEZE
875	HICCOUGH
876	COUGH
877	ANSWER
878	TWIST
879	SWEAT (PERSPIRE)
880	DRIBBLE
881	BREAK (CLEAVE)
882	BREAK (BREAKING)
883	STRETCH
884	PINCH
885	FINISH
886	WEAVE
887	STING
888	CHOP (INTO PIECES)
889	PAINFUL
890	BARKING
891	STIR
892	TURN (SOMETHING)
893	WEAR
894	PUSH
895	REMEMBER
896	EMBRACE
897	SWALLOW
898	TASTE (SOMETHING)
899	DRIP (EMIT LIQUID)
900	DWELL (LIVE, RESIDE)
901	BOIL (OF LIQUID)
902	LIE (REST)
903	SLEEP (STATE)
904	MILLET
905	DREAM
906	GIVE BIRTH
907	RIPEN
908	GROAN
909	WAKE UP
910	REGRET
911	LAST (ENDURE)
912	PISS
913	SHIT (DEFECATE)
914	GO OUT
915	STAB TO DEATH
916	BEGET
917	SHIVER
918	SHAKE
919	BORE
920	STRAIN
921	MIX
922	BATHE
923	SPLASH
924	DIVE
925	SPREAD OUT
926	WASH (ONESELF)
927	BE BORN
928	EARN
929	BUILD
930	PLANT (SOMETHING)
931	CAUSE
932	MOLD
933	HAVE
934	OWN
935	BECOME
936	REMAIN
937	IDEA
938	RAW
939	UNRIPE
940	SHY
941	CUSTOM
942	DISAPPEAR
943	CARRY IN HAND
944	DRUNK
945	DEATH
946	SEND
947	MEET
948	WORK (LABOUR)
949	POUND
950	JOIN
951	FORGE
952	DAMAGE OR INJURE
953	DESTROY
954	HUNT
955	CULTIVATE
956	LOOK FOR
957	SHAVE
958	SHARPEN (SOMETHING)
959	CUT OR HACK
960	BURY
961	FOLLOW
962	HIDE (ONESELF)
963	SEW
964	POISON
965	HAPPY
966	LAZY
967	SLOW
968	TIRED
969	QUIET
970	BEAUTIFUL
971	CURE
972	DISEASE
973	PAIN
974	WOUND
975	UGLY
976	EVIL
977	BLISTER
978	SWELLING
979	BRUISE
980	OPEN
981	CRAWL
982	MARKET
983	PRESERVE
984	RESCUE
985	MAGICIAN
986	GUNPOWDER
987	DEAF
988	MUTE
989	NAKED
990	MEAL
991	DINNER (SUPPER)
992	LUNCH
993	PAY
994	ANGRY
995	RIGHT
996	BREAD
997	DISH
998	VEGETABLES
999	READY
1000	GREEN
1001	BROKEN
1002	SMELL (STINK)
1003	MELT
1004	KISS
1005	BE HUNGRY
1006	FAMINE
1007	HUNGER
1008	DRAW MILK
1009	HUMMINGBIRD
1010	BRAID (VERB) OR WEAVE (BASKET)
1011	CHOKE
1012	DROWNED
1013	PUT
1014	OWE
1015	PREPARE
1016	REPAIR
1017	SPIN
1018	OVEN
1019	THREATEN
1020	PAN
1021	SAUCER
1022	BUCKET
1023	SPOON
1024	TROUGH
1025	PUMPKIN
1026	CALABASH
1027	KNIFE (FOR EATING)
1028	KNIFE
1029	RAZOR
1030	SWORD
1031	MACHETE
1032	HOOK
1033	RAKE
1034	FORKED BRANCH
1035	TABLE
1036	RICE
1037	BREAKFAST
1038	MIDDAY
1039	THRESH
1040	TEAR (SHRED)
1041	WRAP
1042	SEVEN
1043	WEEK
1044	PAINT (PIGMENTS)
1045	EIGHT
1046	ELEVEN
1047	NINE
1048	TEN
1049	TWELVE
1050	TWENTY
1051	CARVE
1052	ROW
1053	KNEAD
1054	DRIVE
1055	DOUGH
1056	PLAY
1057	WHEAT
1058	PESTLE
1059	NUT
1060	SWEET POTATO
1061	HARVEST
1062	CIRCLE
1063	GRAPE
1064	BUTTER
1065	FAT (OBESE)
1066	SOAP
1067	PEPPER
1068	CHILI PEPPER
1069	COMB
1070	DRAG
1071	BEER
1072	SORGHUM
1073	YOLK
1074	SHOUT
1075	DRESS UP
1076	COAT
1077	SILK
1078	ROLL
1079	LOOM
1080	SOW SEEDS
1081	STAB
1082	TRANSIT
1083	PIERCE
1084	FISHHOOK
1085	CHISEL
1086	FISHING LINE
1087	STRING
1088	DYE
1089	PAINTING
1090	WRITE
1091	BRIDGE
1092	GRASS-SKIRT
1093	TROUSERS
1094	STOCKING
1095	BOOT
1096	HEADGEAR
1097	HELMET
1098	HEADBAND OR HEADDRESS
1099	POCKET
1100	NETBAG
1101	BUTTON
1102	ORNAMENT
1103	LETTER
1104	BRACELET
1105	GOLD
1106	BRUSH
1107	COMB (VERB)
1108	BROOM
1109	MIRROR
1110	IMITATE
1111	SIT DOWN
1112	COOKHOUSE
1113	WINDOW
